phase,ct_lung_L,mi,contain,cover
average,4.488,-0.1816363368418915,0.954700755374782,0.39296647788152456
phase00,4.62,-0.17788929140240084,0.9612766847081233,0.3847841853718409
phase12,4.541,-0.17658902131139212,0.9564448991930795,0.3888074868837737
phase25,4.474,-0.1783484790039163,0.9525292914264459,0.3932472119315891
phase37,4.427,-0.17689066229876307,0.9493388487369571,0.39616164163038103
phase50,4.384,-0.17755225296892876,0.9485147134024453,0.39990004213909824
phase62,4.393,-0.1788118108468447,0.9487846818794442,0.3990773230639912
phase75,4.551,-0.1828972361634945,0.9594129413406521,0.38911214247981285
phase87,4.665,-0.1805269005316551,0.9629112893849552,0.38116715758468334
