perm,flips,mi,contain,cover,stop
012,--+,-0.2946045922143548,0.7917970944698611,0.7727254924999021,RegularStepGradientDescentOptimizerv4: M
012,+-+,-0.13216466005043528,0.6149525586247017,0.6003211530176634,RegularStepGradientDescentOptimizerv4: G
012,-++,-0.12040790674869759,0.5330899315934121,0.5203853836211961,RegularStepGradientDescentOptimizerv4: M
102,-++,-0.1151377467045917,0.5294731141819933,0.5169584459327146,RegularStepGradientDescentOptimizerv4: M
102,+++,-0.10883840753135024,0.5492387008766475,0.5361492969882113,RegularStepGradientDescentOptimizerv4: M
102,+-+,-0.10359354421322162,0.5382548182018732,0.5255747464066111,RegularStepGradientDescentOptimizerv4: M
102,--+,-0.1026744834579853,0.5514800256698219,0.5384991971174559,RegularStepGradientDescentOptimizerv4: G
201,-++,-0.08949161799039262,0.4116715448458362,0.40212665961696625,RegularStepGradientDescentOptimizerv4: M
201,+++,-0.08834982858328638,0.41435363920835533,0.3993263619629499,RegularStepGradientDescentOptimizerv4: G
210,++-,-0.08491079648117654,0.41011212362995003,0.3824854110366976,RegularStepGradientDescentOptimizerv4: M
201,+-+,-0.08007531147299148,0.38547965268333506,0.36078799984334,RegularStepGradientDescentOptimizerv4: G
210,---,-0.07531026025422137,0.40111906624150173,0.3916696040418282,RegularStepGradientDescentOptimizerv4: M
201,--+,-0.07455090314086879,0.38267394270122784,0.3735166255434144,RegularStepGradientDescentOptimizerv4: M
210,-+-,-0.0697364078275525,0.36134504331087586,0.35289625190929386,RegularStepGradientDescentOptimizerv4: M
201,-+-,-0.06840824264475033,0.3575396586647414,0.3491168292014256,RegularStepGradientDescentOptimizerv4: M
201,+--,-0.06732394708443092,0.4034508467355416,0.37089257039909135,RegularStepGradientDescentOptimizerv4: G
210,-++,-0.06664445836756766,0.3616035616877908,0.3530920769200642,RegularStepGradientDescentOptimizerv4: M
021,+-+,-0.06543860508739949,0.39440320962888664,0.38501155367563544,RegularStepGradientDescentOptimizerv4: M
120,++-,-0.065191904867368,0.41658141260957654,0.406669799866839,RegularStepGradientDescentOptimizerv4: M
021,---,-0.06434982510320432,0.3834302908726179,0.3742999255864959,RegularStepGradientDescentOptimizerv4: M
120,+-+,-0.06406584220627459,0.39041659145155144,0.3811733834645361,RegularStepGradientDescentOptimizerv4: M
021,+++,-0.06391313041811164,0.37311487245307234,0.3643324325382838,RegularStepGradientDescentOptimizerv4: G
210,+-+,-0.0629917424929937,0.35948434622467773,0.34402537892139584,RegularStepGradientDescentOptimizerv4: M
021,-++,-0.06246289413887443,0.314851564535851,0.3075823444170289,RegularStepGradientDescentOptimizerv4: G
201,---,-0.06093861145119696,0.3226718536937515,0.31510202483061134,RegularStepGradientDescentOptimizerv4: G
012,+++,-0.06070359575507471,0.42680652213152565,0.4167352054204363,RegularStepGradientDescentOptimizerv4: G
120,--+,-0.05716276264390302,0.32643360009627537,0.3187052050287863,RegularStepGradientDescentOptimizerv4: G
021,--+,-0.05703572451288967,0.4278441433496352,0.41800806799044377,RegularStepGradientDescentOptimizerv4: M
120,+++,-0.055261211699358596,0.314798476037698,0.30742568440841267,RegularStepGradientDescentOptimizerv4: M
201,++-,-0.05411232619935485,0.36114759481201775,0.34461285395370694,RegularStepGradientDescentOptimizerv4: M
120,+--,-0.05090709008923966,0.4015522220439596,0.39210041906552306,RegularStepGradientDescentOptimizerv4: M
210,--+,-0.04960040222138554,0.3694130857612641,0.36076841734226295,RegularStepGradientDescentOptimizerv4: M
120,---,-0.04539331680600453,0.37533097969991175,0.36640817765244976,RegularStepGradientDescentOptimizerv4: G
210,+--,-0.041866561503343884,0.343396453502367,0.33523283593780595,RegularStepGradientDescentOptimizerv4: M
021,+--,-0.04056983476758355,0.3278057388061198,0.32013472760741,RegularStepGradientDescentOptimizerv4: M
120,-+-,-0.040182949663670406,0.31292871755786433,0.30552618180394,RegularStepGradientDescentOptimizerv4: G
021,-+-,-0.040000042626498936,0.28516706108860457,0.2784435828143971,RegularStepGradientDescentOptimizerv4: M
210,+++,-0.036805571807127145,0.2793796023194687,0.272666744996671,RegularStepGradientDescentOptimizerv4: M
120,-++,-0.035174562105666544,0.22813634813313804,0.2226726197469941,RegularStepGradientDescentOptimizerv4: G
021,++-,-0.03251246841450921,0.31115703308388337,0.3037050092037755,RegularStepGradientDescentOptimizerv4: G
102,++-,-0.030302077947766327,0.23713449119570013,0.2315434927348921,RegularStepGradientDescentOptimizerv4: M
012,---,-0.02574411065076855,0.1592900832247067,0.15554380605490933,RegularStepGradientDescentOptimizerv4: G
102,+--,-0.02549168830286278,0.12357612706561848,0.12066737163670543,RegularStepGradientDescentOptimizerv4: G
102,-+-,-0.024620569812578867,0.1514519493021017,0.14788704813378764,RegularStepGradientDescentOptimizerv4: M
102,---,-0.023324249433627302,0.11703344099179522,0.11424431128343712,RegularStepGradientDescentOptimizerv4: G
012,++-,-0.022673573474978143,0.12775003509616348,0.12474053186072925,RegularStepGradientDescentOptimizerv4: G
012,+--,-0.021842250470847792,0.1366799703174826,0.13345474484001096,RegularStepGradientDescentOptimizerv4: M
012,-+-,-0.020185161221657217,0.1399779404391858,0.13668585751772216,RegularStepGradientDescentOptimizerv4: G
