sigma,fine<1.5,mid1.5-6,coarse>6,oow,tm_fine<1.5,tm_mid1.5-6,tm_coarse>6
dis_floor,0.3578334115828538,0.6150745332161583,0.8195856789013062,,,,
container (raw b),0.8237816864016055,0.2694529820000818,0.6686510611827104,18.615020951971633,0.7671209669344002,0.5365735861781759,0.8470106241773449
b low-pass σ=1.5,0.35243360594668444,0.2265178955531214,0.6729642089810072,12.860391819777227,0.40020565973788585,0.5190161091278697,0.8457729833146796
b low-pass σ=2.5,0.1843491328444912,0.2059868485777462,0.6783368613980418,12.753841194799614,0.3118729825070449,0.5127843644451516,0.8453560879430954
b low-pass σ=4.0,0.1642588001612154,0.1981909792058958,0.689066842164989,12.629382901758532,0.2942534924629526,0.5116164442511403,0.8449533944021665
b low-pass σ=6.0,0.16060492055235248,0.20196725518856823,0.7060761888031827,12.677733605529887,0.29207700379927337,0.5141027437113375,0.8442383795510597
b low-pass σ=10.0,0.1640624131236204,0.24045201266271524,0.7497851241929678,13.853372013896351,0.2927991149835569,0.5167554193266959,0.8417053754748072
quadratic everywhere,0.18919394387838903,0.29386424158646707,0.7862222035756603,15.02811503885964,0.30277751086515275,0.5299551407992565,0.8493262900297425
