sigma,fine<1.5,mid1.5-6,coarse>6,oow,tm_fine<1.5,tm_mid1.5-6,tm_coarse>6
dis_floor,0.5832501448568234,0.6896824591444279,0.8718155345700959,,,,
container (raw b),0.9306362705903025,0.7407957564581585,0.9059035630914387,6.842973004479824,0.8457140396822327,0.6310199511680231,0.8582732365187893
b low-pass σ=1.5,0.7371542199685825,0.7225649942480054,0.9013030454506887,3.207487468149949,0.6027132159352394,0.6197003974381206,0.85584227503979
b low-pass σ=2.5,0.5425373040753535,0.6978819705714117,0.9023406438125998,2.737855346645128,0.5446955757799793,0.6153181418429826,0.8555246361848349
b low-pass σ=4.0,0.43923506711502036,0.673582298480338,0.9036307792057515,2.4930471130947427,0.5259446112399835,0.6111523407667161,0.8550799319403564
b low-pass σ=6.0,0.4025126280855249,0.6649205327534925,0.905808976004922,2.3798024880510265,0.5166984709583534,0.6088949940957947,0.8547531823447758
b low-pass σ=10.0,0.4172714548501143,0.6934981981672029,0.9153537263851967,2.288207570736257,0.511416746578482,0.6092984250617848,0.8541135725724759
quadratic everywhere,0.43077169055530273,0.6953773622169654,0.9076206048587285,3.0942428431062337,0.5092956812261976,0.6043308249970488,0.8554027384844313
