key,n_in,n_out,rbc_in,rbc_out,rbc_bg,tm_in,tm_out,tm_bg,dis_in,dis_out,dis_bg,gas_in,gas_out,gas_bg
2023-01-31_000LL,55145,658,0.41581641027640387,0.5791444869926228,0.0067758192031062234,0.4501361586805098,0.5917785498220682,0.014020313973811295,0.15196172388485363,-0.013579676274438292,0.0010623116294779377,0.434840089668083,0.45962222147206777,0.07753339839514697
2023-05-02_011BA,46866,698,0.42978576230020227,0.43669501076757333,0.009713483651371023,0.42862337393309646,0.5034165648636487,0.007434398033225092,0.1864742657200254,0.0817868178093189,-0.008963859539770967,0.20802881749480967,0.35387431047972656,0.02802014086746225
2023-05-02_012SR,39171,1030,0.5548599641255871,0.6106226515436401,-0.026883039564554356,0.557966788780573,0.6281748948210177,-0.016048241759148613,0.23679378763069545,0.1322029218812463,0.003266385493230276,0.24387038626921853,0.34861279854809823,0.019684882063344712
2023-05-15_035EK,74884,1041,0.38229064927221995,0.2538708859064049,0.015319632694121984,0.3886761374821488,0.3575623336171167,0.0010173571251000984,0.17611505309357006,0.028216261966822316,0.0023583529895249674,0.3014295892795424,0.39993047959081907,0.0367233993740765
2023-05-18_000SV,74377,822,0.4298055477990937,0.5044620513276094,-0.0016224796209550602,0.4488911162146998,0.5438228512987052,0.0044354986480777915,0.1898512721639971,-0.05590761242807704,-0.00504419117114665,0.353172548175422,0.39219536666121935,0.05285867138917111
2023-09-25_032WS,71941,2915,0.5738017202805618,0.7386854800768031,0.019742470660061465,0.5395781960929561,0.7430144011355837,0.034872506590029294,0.29107661744408575,0.08054095952428336,0.030427229852970434,0.1665967775456979,0.3429611572078916,0.07650631484030475
2023-11-02_036RL,71490,3205,0.5327623936461818,0.4980206593311529,0.01010967131361431,0.526020593120813,0.4855059187781964,-0.009432135678640015,0.21205368921766649,0.05900550036812212,-0.015937770015313178,0.37939032528169325,0.38028788669957037,0.055136756596312564
2023-11-17_005DS,44622,4804,0.48380427609905546,0.16088626843038686,0.00192704043545183,0.5031606833991884,0.21522144971391366,0.02096746460634139,0.4557319895300145,0.09533789486189774,0.01410843768771785,0.30450099340819353,0.598721246054132,0.11485487749634694
2024-02-19_037GD,28792,233,0.747473206064702,0.6405233849317401,0.014352571442385201,0.7096404417053631,0.48698420123862535,0.03892594760732428,0.4044067010248874,0.3483518664056166,0.005857333256298292,0.27230186659516914,0.356783317231035,0.02139516725745907
2024-02-21_043AS,58790,431,0.8397628420501119,0.7550550521432814,0.045269317598271235,0.7727352385607708,0.6424031746415299,0.07361614265886378,0.4651433506874516,-0.0010404927287395868,0.07075679824916206,0.20175595532101884,0.30877026610079056,0.009735135550434362
2024-02-26_029CK,51072,1111,0.8566831961687718,0.7499365226378781,0.02512850089538102,0.7662222396379588,0.6446877543645453,0.10167766462965497,0.4232613979806224,0.17861333730005655,0.03592520088492707,0.3282543720706372,0.439269849199639,0.04596054222385263
