a,b,n,gas,dis,tm,rbc,gas_hp,dis_hp,tm_hp,rbc_hp
2024-02-21_043AS,2024-02-26_029CK,66309,0.3286288899724061,0.47320579455428224,0.585305022477796,0.039125693652673946,0.22442028657197233,0.5108262670119669,0.47083870095868097,0.13775753068524133
2024-02-21_043AS,2024-02-27_009JT,67123,0.09522707707965777,0.08302752905604456,0.06263894758426496,-0.018147373610024924,0.09423113316173978,0.09426827159358477,0.05878801615971684,-0.03330561771117507
2024-02-21_043AS,2024-03-06_030DN,65186,0.40564418202119884,0.6606530414736784,0.5832866738533307,0.3593751198682236,0.23866342860371895,0.4655138840316694,0.33860094945353875,0.05577001257555763
2024-02-21_043AS,2024-03-11_039CP,58865,0.30026621196754816,0.6381977887187877,0.5634561773843394,0.3915639101887914,0.16051710105972025,0.4657911448458174,0.3855454974099765,0.17970166197255297
2024-02-21_043AS,2024-03-12_006KL,40589,-0.12140451692608498,-0.385808535168904,-0.31599745400057044,0.031258180203847095,0.07141195080191197,0.0027542974643182624,0.042790377762494634,0.06393696443750325
2024-02-21_043AS,2024-03-12_044DY,64677,0.41458497132793065,0.7440361602006229,0.6781413658144774,0.4132822699056848,0.2170486062634973,0.5560896080922748,0.4486466042562553,0.16688845568373376
2024-02-21_043AS,2024-03-14_038RL,73772,0.48451657776983736,0.7675267332450341,0.6964021616052259,0.6405506329898205,0.32769230435042673,0.6345460361889858,0.5486722118345595,0.31652982555453724
2024-02-21_043AS,2024-03-21_032WS,69748,0.010872071834047805,0.11094549608248098,0.04836123347953346,0.3312940994762767,0.008548911827353652,0.010324562772881253,-0.008267268368774845,0.0733533342201709
2024-02-21_043AS,2024-03-21_036RL,66520,0.298574836928165,0.49232832538150045,0.4864279504218104,0.17485069075571702,0.21216270073299073,0.41829793371274887,0.3506199241358159,0.10962394341017956
2024-02-21_043AS,2024-03-28_010AJ,49321,-0.00018749744115783117,0.43026359327341984,0.32498055764929107,0.2631087158887424,-0.09272786833606571,0.05537282177429309,0.007103790795032202,0.03141618752450779
2024-02-21_043AS,2024-04-09_019WR,77220,0.48978035324350444,0.7398588520959535,0.6946760253806801,0.5739247580290487,0.31951697479179425,0.58510209028521,0.505627253760357,0.22365548650625797
2024-02-21_043AS,2024-04-22_025VP,38320,0.0020639529285250806,0.13017392463265917,0.10358573333361835,0.21043963851492056,-0.0153439747374891,-0.08282403859970394,-0.055177556702243655,-0.04124976052601074
2024-02-21_043AS,2024-06-18_003PM,35935,0.27478007370035873,0.4122040770460923,0.3805805816078891,0.24347679672816455,0.21882451911390452,0.415746679549306,0.3461028456959995,0.10102900220137771
2024-02-21_043AS,2024-07-03_044DY,60832,0.43368801994740147,0.6900117102233273,0.6248596259722105,0.4552000736604766,0.195765267463267,0.5277460183332521,0.4112275655601376,0.11139061614766342
2024-02-21_043AS,2024-07-29_004DS,43794,0.0590255746912695,0.1558691727583637,0.16342968041726044,-0.02451240493439934,0.07640088488691754,0.24408732120648738,0.19537371524622282,0.050373816947797016
2024-02-21_043AS,2024-08-12_013VM,73093,0.2944103260176168,0.5315074639402997,0.44637851316751714,0.2563556156204761,0.16617261708418202,0.2559465097019099,0.15703478615828606,0.04283218466913115
2024-02-21_043AS,2024-08-19_015HK,75018,0.41934272051441446,0.6877521986603282,0.6421173855776198,0.5344044414267585,0.2742253270065502,0.5248114559074507,0.4479968596742346,0.19623955139405788
2024-02-21_043AS,2024-08-21_044DY,65716,0.40846581177180113,0.7887863159833808,0.7223396614532291,0.5212870408416096,0.25347121789027643,0.6284089319064251,0.5752825823736331,0.20450566797095968
2024-02-21_043AS,2024-08-23_016PG,96076,0.3916575681397607,0.6924469344600761,0.5456510413601766,0.4964905273252444,0.29160103783139774,0.506520567385051,0.3306734160108018,0.13832507693719823
2024-02-21_043AS,2024-08-30_014KS,65311,0.2299075743422827,0.45572977137353055,0.4005200882404325,0.5075636333211203,0.19330389284038196,0.37666476554187556,0.3385607433873204,0.1944335801576547
2024-02-21_043AS,2024-09-03_041WF,79884,0.3600752235971859,0.7249094338936654,0.6409866172825763,0.426774042385856,0.1717063309491506,0.4778303491310962,0.3415932877999272,0.08870843531942346
2024-02-21_043AS,2024-09-10_008TP,62573,0.3684246516739432,0.6723494695175122,0.6413921565632277,-0.02221966449852556,0.115510334685927,0.4288159370729615,0.304616606421045,-0.11951525703349422
2024-02-21_043AS,2024-09-10_045VS,53747,0.3562607283780509,0.7033812822845629,0.6399138346787698,0.5741772923311436,0.23058918011982577,0.5425049073706786,0.47708483156895803,0.2298963664442571
2024-02-21_043AS,2024-09-24_039CP,70961,0.4738020596111791,0.7863304450818968,0.742688500083945,0.4258734393622128,0.2694083625512518,0.6208457774834675,0.519721788168868,0.19365584028873636
2024-02-21_043AS,2024-09-24_046AA,59762,0.3173805591484642,0.5440280096141981,0.49374648875258,0.24619584320800078,0.15946977173818583,0.36759265537386376,0.27120135422272407,0.06817901117679233
2024-02-21_043AS,2024-09-26_009ML,79335,0.35850441982815273,0.6853976434041114,0.579549392194764,0.5744430692843966,0.256213352492883,0.6084784211046625,0.4806324033010667,0.26335448838714176
2024-02-21_043AS,2024-09-27_036RL,60826,0.214316090759659,0.3040739455383962,0.3038851840792477,0.1653330767138756,0.1916813757730817,0.33201514343577526,0.28502335502536297,0.05608401038856962
2024-02-21_043AS,2024-10-02_011CN,55861,0.10779842868943677,0.274213902686214,0.2715024909015088,0.13488377383619818,0.09224614677763522,0.19346008703548012,0.21990552497238233,-0.00859411436539021
2024-02-21_043AS,2024-10-10_019LR,63697,0.3456392038814092,0.5449406781777505,0.5662341104800785,0.09832842304698552,0.22163132608460312,0.45465932181054086,0.38413230271300947,0.07236180127301754
2024-02-21_043AS,2024-10-16_020JS,60331,0.007173032525497253,-0.10238382901232143,-0.10629171529229395,0.005278566140385676,0.014671162205269319,-0.04868178248419529,-0.07440621754149383,-0.06010332589132199
2024-02-21_043AS,2024-10-17_048JJ,63233,0.17405737089113105,0.33982268112897596,0.28467258985329336,0.2362495081551027,0.05834886617332166,0.20217386247424335,0.11795565899529153,0.022089155026405315
2024-02-21_043AS,2024-10-22_021CH,57553,0.08185094596048985,-0.04804473986388485,0.013003457178380551,-0.052344832068901004,0.11698328564193711,0.09506003277265854,0.1236921401525662,0.005573941939068162
