key,phi_k0_deg,gain,insp_bin,snr_resolve,apod_L2_fit,apod_L2_theory,EI_lung_vox,EI_snr_med,EI_sigma0,EI_resolvable_frac,EI_lung_out_support_frac,EI_oow_lung_pct,EI_oow_lung_pred_pct,EI_oow_lung_excess_pct,EI_oow_lung_excess_th_pct,EI_snr_lung_med,EI_oow_in_pct,EI_oow_in_pred_pct,EI_oow_in_excess_pct,EI_oow_in_excess_th_pct,EI_snr_in_med,EI_oow_out_pct,EI_oow_out_pred_pct,EI_oow_out_excess_pct,EI_oow_out_excess_th_pct,EI_snr_out_med,EI_oow_rim_pct,EI_oow_rim_pred_pct,EI_oow_rim_excess_pct,EI_oow_rim_excess_th_pct,EI_snr_rim_med,EI_oow_excess_resolvable_pct,EI_phase_med_deg,EI_corr_rbcfrac_gmean,EI_corr_rbcfrac_gasbin,EE_lung_vox,EE_snr_med,EE_sigma0,EE_resolvable_frac,EE_lung_out_support_frac,EE_oow_lung_pct,EE_oow_lung_pred_pct,EE_oow_lung_excess_pct,EE_oow_lung_excess_th_pct,EE_snr_lung_med,EE_oow_in_pct,EE_oow_in_pred_pct,EE_oow_in_excess_pct,EE_oow_in_excess_th_pct,EE_snr_in_med,EE_oow_out_pct,EE_oow_out_pred_pct,EE_oow_out_excess_pct,EE_oow_out_excess_th_pct,EE_snr_out_med,EE_oow_rim_pct,EE_oow_rim_pred_pct,EE_oow_rim_excess_pct,EE_oow_rim_excess_th_pct,EE_snr_rim_med,EE_oow_excess_resolvable_pct,EE_phase_med_deg,EE_corr_rbcfrac_gmean,EE_corr_rbcfrac_gasbin,R_bins_cv,shift_dz_vox,gas_corr_fixed,gas_corr_shifted,rbcfrac_corr_fixed,rbcfrac_corr_shifted,dismag_corr_fixed,dismag_corr_shifted,imprint_index,n_bins_split,dphi_rep_sd,snr_diss_cal,xecs_stable,grade,grade_parts
2023-01-31_000LL,34.5,1.7655172821352758,7,6.642988929053024,7375.110493829476,5066.059182116889,94153,9.108457774458275,35.63306725722916,0.7102482130149862,0.1891495756906312,24.87546865208756,23.178517197733477,1.6969514543540818,-2.990016327653265,9.108457774458275,21.830137273394108,19.673858108975114,2.1562791644189936,-2.045327574794282,10.140871486494744,37.93025998090853,38.20236432402741,-0.2721043431188761,-7.039728167075239,4.771724054163838,29.551996254011097,26.42355149778462,3.1284447562264788,-1.8274415041429144,8.026936461456584,0.9649265296557463,14.928799655392902,0.1345412027855708,-0.12441522504802349,56927,3.6460326988982446,33.3786595997714,0.10067279146977709,0.02958174504189576,36.32898273227115,42.228674918428204,-5.899692186157054,-14.541884498611374,3.6460326988982446,35.573737849139256,41.5427150884777,-5.968977239338443,-14.646158087191345,3.7016783127883643,61.104513064133016,64.7313345894232,-3.6268215252901825,-11.121227815758843,1.619033191189164,41.988406721974044,47.170555844617574,-5.18214912264353,-13.847763928289758,3.022914116495264,-0.6912139170430173,20.12239949430127,-0.2733214087151619,0.15120804113915484,0.001882096400531729,2,0.48745715651160415,0.5438809567971045,0.6515818055953129,0.5866807541274967,0.4380141093989475,0.4652818600159639,0.09216880208483258,16,3.0,55.4,yes,C,CAAA
2023-05-02_011BA,40.4,1.5429243853794172,8,5.672849456740824,7899.234706268735,5066.059182116889,95641,9.24165459615945,33.44741902172926,0.7720538262878891,0.26036950680147636,30.539203897909893,23.68013219758425,6.859071700325643,2.666890560553302,9.24165459615945,25.264705466574313,18.632046751001667,6.632658715572646,3.1910004925098363,11.291638268403549,45.52244799614489,38.02020594289811,7.502242053246782,1.1780538214691703,4.933393155776106,32.10316712859564,24.741867556229394,7.361299572366249,2.8619147827029288,8.414231981365564,5.572653675163972,12.501149666583977,0.056454080587016016,-0.19931643662817142,48607,4.679959698896665,33.02845159435658,0.3300553418231942,0.03299936223177732,32.57761227806695,33.32846505055099,-0.7508527724840377,-8.587066769652708,4.679959698896665,31.78307767589303,32.530103398826526,-0.7470257229334969,-8.531685434060801,4.759252665751725,55.86034912718204,56.723348289955524,-0.8629991627734839,-10.20994015919549,1.9467216308825837,34.847097060127055,36.75805338236543,-1.910956322238377,-10.448389714290016,4.123282433446125,-1.1076685477667707,12.854697745832933,-0.21498219116000997,0.14747471378638896,0.0017838689190033457,3,0.459002525431261,0.5437391980326042,0.6524394001359267,0.5940745112425745,0.370424174679884,0.2957937184810575,-0.016265567305474238,16,4.9,53.0,yes,C,BBAC
2023-05-02_012SR,33.9,1.7929336965936788,7,6.760563954345997,9757.114412392164,5066.059182116889,84079,9.122725499627244,33.4083209981041,0.6868540301383222,0.26228903769074324,46.85236503764317,32.65880385677516,14.19356118086801,7.9714031913953605,9.122725499627244,43.4543578499339,29.099910426689895,14.354447423244004,9.029422994984849,10.798462055529953,56.409558790187276,42.66850430090829,13.741054489278987,4.995629539854043,4.929256167071859,49.500885873557756,34.005715072428714,15.495170801129042,9.233602635224692,8.608788020568698,9.896203461521779,6.781027805036406,-0.06330627699337567,-0.41178436937967544,41343,7.284731900905374,36.337928384764524,0.5550637350942118,0.04953680187698038,46.4601020729023,34.63365694813947,11.826445124762834,4.191006977815803,7.284731900905374,45.850617126860925,33.87290859825435,11.977708528606577,4.549582614915323,7.5235845893773625,58.154296875,49.230144452405035,8.924152422594965,-2.6889879732708835,3.465522159641572,49.90957844849089,36.98950639230781,12.92007205618308,4.779443715608693,6.4606362585117285,4.872301264290097,6.991454831252273,-0.6807208515000733,-0.4742921712228409,0.0026838361549308795,8,0.3962382508544862,0.662201854464378,0.8131401437365912,0.8039268313968354,0.3402107799556873,0.5631314177268097,0.23213395011087817,16,7.8,62.9,yes,D,CBAC
2023-05-15_035EK,33.8,1.7976053956503855,5,6.78056562284998,8404.339453599383,5066.059182116889,137758,8.318579285499661,32.8881654366565,0.6173507164738165,0.2363419910277443,43.16337345199553,32.78429382535388,10.379079626641655,4.72776226377313,8.318579285499661,39.330798479087456,28.143575876257877,11.187222602829578,6.324141326249858,9.769194757064604,55.54702377295902,47.77918074239114,7.767843030567882,-0.43038864760201534,3.6566440457173623,46.49294200006269,34.17520606692352,12.317735933139168,6.5238457685131905,7.45930076009112,7.027731254217643,10.085217376363365,-0.06209344816652157,-0.25236371429401705,80740,4.8958978697120425,32.11584968935994,0.25910329452563785,0.06995293534803071,42.52415159772108,38.89200522852002,3.6321463692010596,-5.212957664482865,4.8958978697120425,39.60874660416556,36.673043571415846,2.9357030327497142,-6.032114097809725,5.127414089998431,81.28541076487252,68.39382335091142,12.891587413961105,5.6779939805913955,1.470500518949876,46.316471588838034,42.90088449698665,3.4155870918513855,-5.965416090214376,4.05110337069271,1.51708113311122,9.749630689974499,-0.5349231819216282,-0.08224895542381305,0.0022405495325083053,7,0.5537889523087676,0.6835693089590338,0.8057674217236346,0.8089366903347642,0.7013579592104063,0.7409134670363476,0.036386239214811655,16,7.0,56.3,yes,D,CBAC
2023-05-18_000SV,32.5,1.8611589967035778,7,7.0517882477639775,9088.64575987093,5066.059182116889,139788,8.343039697209829,39.78307698873753,0.6189515552121785,0.18561679114087046,43.896471800154515,32.50779987136473,11.388671928789783,4.899936324484763,8.343039697209829,41.032668370797865,29.754400266115905,11.27826810468196,5.084445387741397,9.26437888209209,56.46124792846957,44.58818544430701,11.87306248416256,4.09041320928074,4.57218122416861,50.047401094812386,36.057166945821585,13.990234148990801,7.356728146287985,7.319969168449999,7.506670657487832,6.882612700836867,0.0496863628722452,-0.3085306700948164,76261,6.066826807943377,35.972372715407054,0.3760900066875598,0.02137396572297767,42.07917546321187,35.213753262433215,6.865422200778653,-1.884512233638958,6.066826807943377,41.734667899398374,34.84459742993814,6.890070469460234,-1.8107191376188965,6.138161385467181,57.852760736196316,52.11588144337797,5.736879292818344,-5.26319477908303,3.0404564525646696,46.462025316455694,39.41182173945264,7.050203577003053,-2.5209682680613525,5.008721589899576,2.421288677268936,7.942847657520691,-0.3934852070655768,-0.21544745019924505,0.0027271746106669226,12,0.3408019126068854,0.5878472658821534,0.7167489192875941,0.7739300295637361,0.6917689302598246,0.6788571855050695,-0.07009285503089713,16,5.9,59.2,yes,D,CBAC
2023-09-25_032WS,41.4,1.5121458610312266,8,5.535824107544186,7349.550681664537,5066.059182116889,110509,11.844712850526538,38.163615058983,0.8959179795310789,0.20782017754210064,33.374657267733845,23.1623800215258,10.212277246208046,7.661340448664486,11.844712850526538,31.85862947351587,20.866470762499368,10.9921587110165,8.903198004871598,13.558224254224475,39.1535313071497,31.914047018954673,7.239484288195026,2.9275628625354884,6.386246828955866,35.694386483346676,24.561119260403164,11.133267222943513,8.490629165780785,10.64240508538264,9.776723756430764,8.351044757123265,-0.09574999234634954,-0.3365121736672478,77881,7.099239839968138,39.625964875399454,0.6649888933115907,0.0686046660931421,36.36445346104955,29.12007601683521,7.24437744421434,2.951336022585366,7.099239839968138,35.69163748655877,28.068990547560187,7.622646938998582,3.5443511611046503,7.421741943993254,45.49878345498784,43.389894053569655,2.108889401418182,-5.09959643444482,3.3219503320349735,36.081590675351386,30.424718835012264,5.656871840339122,0.760571426211051,6.274310389890417,4.584859206707592,8.331374960205093,-0.3871266007911139,-0.2232307965127776,0.002596895243759603,5,0.49293175975568615,0.6761513882797949,0.8216229408084109,0.7897033078758664,0.6211559439723774,0.7474658196333037,0.15822950859347085,16,6.0,70.2,yes,C,BBAC
2023-11-02_036RL,33.6,1.8070387980577343,7,6.8209261325098,8221.301390876459,5066.059182116889,111213,6.455636381807633,56.276644173940795,0.4648197602798234,0.26398892215838077,41.83233974445433,35.43052152704449,6.40181821740984,-0.6820616647639568,6.455636381807633,38.50758667872065,31.30559517603992,7.20199150268073,0.6570475857677138,7.777336005073343,51.10187676691985,46.930971867148976,4.170904899770875,-4.415548792834379,3.59042599578578,43.72392576936271,36.49947114539381,7.224454623968896,-0.07562550191796191,6.005879418190673,5.669766174809435,4.335108756334079,-0.028186690069288867,-0.21096451894636406,78402,4.049346745702506,52.73616358819614,0.13748373765975358,0.08436009285477411,52.51269100278054,45.5681663206551,6.94452468212544,-1.1286888264624082,4.049346745702506,51.04056388254305,44.010080975383666,7.0304829071593815,-1.0014283848188015,4.277206736981013,68.49107952827336,62.47954079394593,6.011538734327431,-2.5099668102410533,2.0049219408655308,55.40383497966299,48.55187996893693,6.8519550107260585,-1.538196906165659,3.5893869520877852,0.9894599575699332,7.945263490837559,-0.0626395320839656,0.0028658560187586543,0.002269155882119072,3,0.6722169531068592,0.7815521400752602,0.7664240303642663,0.7157423842705437,0.630589873340176,0.7428635695897885,0.16295534234333509,16,,55.1,yes,D,CCBC
2023-11-17_005DS,33.4,1.8165939826443296,7,6.861770001566746,,5066.059182116889,81001,2.107638169519278,34.62537110854245,0.03838224219454081,0.35944000691349487,43.44020444192047,58.417076310933524,-14.976871869013053,-14.976871869013053,2.107638169519278,36.75365223759781,50.22219185385316,-13.468539616255349,-13.468539616255349,2.881477586024238,55.35634552636098,73.02122451426759,-17.664878987906604,-17.664878987906604,1.106587097109877,41.089878660175835,56.47043963838776,-15.380560978211925,-15.380560978211925,2.2710257142746846,0.4732708422195543,1.3508533695461724,-0.10603221010053379,-0.28546643146576905,56316,1.4956846129724524,36.121949542424616,0.0,0.19687122664962,41.34881738759855,66.65353037094481,-25.304712983346256,-25.304712983346256,1.4956846129724524,38.342656260363924,63.64977477541389,-25.307118515049964,-25.307118515049964,1.6934086777465929,53.61233877514206,78.90723848227042,-25.29489970712836,-25.29489970712836,0.8950400817367561,41.796391212392585,67.59230713424758,-25.79591592185499,-25.79591592185499,1.4511099267982046,0.0,,,,0.0018867149608790643,3,0.6505047245771197,0.7359210766901614,,,,,,16,6.1,51.0,yes,D,CBCA
2024-02-19_037GD,51.5,1.2777786574853989,6,4.450157632084064,,5066.059182116889,102958,3.4078077824021653,23.007780958414063,0.2417684881213699,0.3549505623652363,13.852250432215078,32.09166874630679,-18.239418314091708,-18.239418314091708,3.4078077824021653,13.777423094876005,29.262681892815618,-15.485258797939613,-15.485258797939613,3.870603153917018,13.988233684498564,37.23276886673118,-23.244535182232614,-23.244535182232614,2.66418471175022,14.268600660493428,32.103075203374324,-17.834474542880898,-17.834474542880898,3.436370145037621,-2.2310009515440092,7.137860915954942,-0.2275340198279673,-0.44170972126602887,29381,1.7841827160606005,23.16332914361727,0.0,0.011776318028657976,21.10207276811545,50.74708862284466,-29.64501585472921,-29.64501585472921,1.7841827160606005,21.164112278284826,50.68815403195197,-29.52404175366714,-29.52404175366714,1.786627022429218,15.895953757225435,55.69265465339127,-39.79670089616584,-39.796700896165845,1.552971012635963,21.360009251763618,51.37024572528265,-30.010236473519033,-30.010236473519033,1.7365114248255025,0.0,,,,0.001815456342750235,3,0.36505076923044694,0.4259283039947218,,,,,,16,4.6,66.8,yes,C,ABCA
2024-02-21_043AS,50.9,1.2885827328033104,7,4.5026152859003785,8237.777299308504,5066.059182116889,107381,15.25629144308704,29.69392898248763,0.9676199700133171,0.19915068773805422,6.737691025414179,7.702577370363114,-0.9648863449489351,-4.074340453385462,15.25629144308704,7.108470161402856,6.92135081706925,0.1871193443336061,-2.3355666080165953,17.203017304440607,5.2466682253916295,10.844141956617923,-5.597473731226294,-11.066512331166198,7.717406693069397,8.158952622693985,8.942880303396777,-0.7839276807027922,-4.347738880966226,13.644098388101787,-0.5154236960749619,12.656533718292646,-0.3385164670196607,-0.489593723127467,59884,8.390297876302082,25.372894632360815,0.8811368646049028,0.013693140070803553,11.049696079086234,14.61067302169933,-3.560976942613097,-9.416403013607459,8.390297876302082,10.876337532168495,14.430593695607596,-3.554256163439101,-9.349989503954518,8.449360745367208,23.536585365853657,27.58165511472627,-4.0450697488726135,-14.20011951865808,3.826576670648839,14.557236523203306,18.5160407543932,-3.9588042311898928,-10.689780361846205,7.04457878876778,-2.8442980084925185,11.80190008556537,-0.41435994730033093,-0.050603789732727625,0.0017241185639880615,7,0.3641597014475671,0.5537590724968429,0.6404241640773948,0.5442601740306009,0.6096294423510551,0.7359497154597526,0.2224842631554914,16,2.8,62.7,yes,A,AAAA
