perm,flips,mi,contain,cover,stop
012,--+,-0.4178017646786588,0.9285755628870753,0.7439829342566973,RegularStepGradientDescentOptimizerv4: G
012,---,-0.16654153886414638,0.7335955727810879,0.5881034456106723,RegularStepGradientDescentOptimizerv4: M
012,-++,-0.1586197168097692,0.6989918849630872,0.5605571099534711,RegularStepGradientDescentOptimizerv4: M
102,+++,-0.15090619034676608,0.6783766596650801,0.5441715230866736,RegularStepGradientDescentOptimizerv4: M
012,-+-,-0.13441180167103461,0.6884746612178807,0.5521015288061709,RegularStepGradientDescentOptimizerv4: M
102,++-,-0.12717386050944612,0.654643944943517,0.524941645669413,RegularStepGradientDescentOptimizerv4: G
012,+-+,-0.12181514977485508,0.6878542510121457,0.5515295790759147,RegularStepGradientDescentOptimizerv4: G
102,+-+,-0.11272033032170706,0.6142137855199954,0.492170471935818,RegularStepGradientDescentOptimizerv4: G
102,-+-,-0.11136078114314231,0.6067463377023902,0.48659009754061616,RegularStepGradientDescentOptimizerv4: M
012,+--,-0.1071141458176594,0.6477903748264692,0.5193458131733936,RegularStepGradientDescentOptimizerv4: M
102,+--,-0.10583790460474511,0.6029757545387966,0.4836221421836113,RegularStepGradientDescentOptimizerv4: M
102,--+,-0.1045173746854855,0.5941036962767291,0.47629500239600564,RegularStepGradientDescentOptimizerv4: G
102,---,-0.09776021472978237,0.5782270966249686,0.4637275664311883,RegularStepGradientDescentOptimizerv4: M
102,-++,-0.09293916319130355,0.6013950978880839,0.48244732652146355,RegularStepGradientDescentOptimizerv4: M
012,++-,-0.07910713703640518,0.5822938556748732,0.4668810189980059,RegularStepGradientDescentOptimizerv4: G
012,+++,-0.07344726465532828,0.5690286992748033,0.45606034842559245,RegularStepGradientDescentOptimizerv4: M
210,--+,-0.04087450778488923,0.48036550806778094,0.3851849561762842,RegularStepGradientDescentOptimizerv4: G
120,++-,-0.03598597415763931,0.35520327084779757,0.2847073008610162,RegularStepGradientDescentOptimizerv4: G
120,-+-,-0.03583655020797777,0.34493927125506074,0.27657633983088836,RegularStepGradientDescentOptimizerv4: G
210,+-+,-0.03512117959035542,0.46254436043820396,0.3707161738108856,RegularStepGradientDescentOptimizerv4: M
120,--+,-0.0347212907388065,0.356075361089149,0.2854338315994497,RegularStepGradientDescentOptimizerv4: G
120,+-+,-0.030926069580494587,0.345853649135655,0.277411077275046,RegularStepGradientDescentOptimizerv4: M
210,---,-0.030732647677406764,0.4351892923955179,0.3488120449521572,RegularStepGradientDescentOptimizerv4: M
120,+++,-0.02811199176781229,0.3464348362472772,0.27781298789630704,RegularStepGradientDescentOptimizerv4: M
210,+--,-0.02711791492751893,0.4431807228915663,0.35538173779969395,RegularStepGradientDescentOptimizerv4: G
120,-++,-0.026913053484930723,0.3318103830509128,0.26606483127482955,RegularStepGradientDescentOptimizerv4: G
210,+++,-0.025927957075662138,0.4021980140750024,0.3224559830579215,RegularStepGradientDescentOptimizerv4: G
120,---,-0.025794941490032572,0.3341559342947482,0.2679198033729576,RegularStepGradientDescentOptimizerv4: G
021,--+,-0.02383572655980327,0.28414173349784083,0.22783694795257456,RegularStepGradientDescentOptimizerv4: G
120,+--,-0.023807166195645612,0.32582796776805334,0.2612728200213322,RegularStepGradientDescentOptimizerv4: M
021,---,-0.02227866999005345,0.22869151130733192,0.18336399189995517,RegularStepGradientDescentOptimizerv4: G
021,+-+,-0.021623924275735888,0.2607966376185702,0.2091017297614815,RegularStepGradientDescentOptimizerv4: G
021,-+-,-0.02126091317609657,0.28651024696832406,0.22972283625233803,RegularStepGradientDescentOptimizerv4: G
210,-++,-0.021234149070782794,0.38154089384182316,0.30590035708212887,RegularStepGradientDescentOptimizerv4: G
021,+++,-0.021142342006587125,0.27274829905749476,0.21874758467174724,RegularStepGradientDescentOptimizerv4: G
201,-++,-0.020639667454598155,0.2804132852709293,0.2248689925955697,RegularStepGradientDescentOptimizerv4: G
201,+--,-0.020328636279762835,0.2907741251325557,0.23312361843223942,RegularStepGradientDescentOptimizerv4: G
210,-+-,-0.019659554031479315,0.36900148456629456,0.2958525915506021,RegularStepGradientDescentOptimizerv4: G
201,+++,-0.018929075474781676,0.2944363047501542,0.23609157378924425,RegularStepGradientDescentOptimizerv4: G
201,+-+,-0.01869836573597363,0.29444198106841973,0.23609157378924425,RegularStepGradientDescentOptimizerv4: M
201,---,-0.01863375352947839,0.2557089955253819,0.20494350064151118,RegularStepGradientDescentOptimizerv4: G
201,-+-,-0.017262812714831478,0.2851606932850065,0.22864076919509668,RegularStepGradientDescentOptimizerv4: G
021,+--,-0.01704183001218729,0.21709207279457124,0.17407367330849732,RegularStepGradientDescentOptimizerv4: G
021,++-,-0.016994801408789895,0.24286237541688355,0.19474115410180706,RegularStepGradientDescentOptimizerv4: G
201,++-,-0.016978553056072706,0.3088255143556815,0.24757694269682026,RegularStepGradientDescentOptimizerv4: M
210,++-,-0.016914584279893213,0.386225640432545,0.3097339660849268,RegularStepGradientDescentOptimizerv4: G
201,--+,-0.015539652534139766,0.28019360934878607,0.22460620488166824,RegularStepGradientDescentOptimizerv4: M
021,-++,-0.015407808472910555,0.24578787060955393,0.19709078542610256,RegularStepGradientDescentOptimizerv4: G
