phase,ct_lung_L,mi,contain,cover
average,2.579,-0.3879384206265141,0.8716762114112725,0.754112034164081
phase00,2.784,-0.4178263192898518,0.9284680826436715,0.7439829342566973
phase12,2.676,-0.38385176022524764,0.8959526426409055,0.746845616009001
phase25,2.484,-0.36278057191997615,0.8616247902967662,0.7731559185368471
phase37,2.508,-0.34645500934638157,0.8525190957487848,0.7577232984741985
phase50,2.48,-0.33884118825314957,0.8428094935122525,0.7581338883107874
phase62,2.499,-0.34063005693462783,0.8482142857142857,0.7571349881226977
phase75,2.642,-0.37931864449233443,0.8862382844139314,0.7478316056695579
phase87,2.756,-0.41008314636269616,0.920644713503509,0.7455192655967027
