phase,ct_lung_L,mi,contain,cover
average,2.245,-0.2893274359476906,0.8003528963567461,0.7343169358696052
phase00,2.184,-0.29572039699799857,0.7909262304946046,0.7722163474718992
phase12,2.216,-0.3160424879032014,0.8055945458191297,0.7759836208062117
phase25,2.315,-0.3442915315843273,0.8385931825933431,0.7740227032832725
phase37,2.345,-0.34168344428339936,0.8466534367670936,0.772001974008883
phase50,2.285,-0.32297954888552605,0.8294408916865466,0.7763975155279503
phase62,2.294,-0.26553700587881435,0.806428313470567,0.7246601521652904
phase75,2.273,-0.26314266927497376,0.8017810224834032,0.7265061335756474
phase87,2.217,-0.2965263876283013,0.7875401284109149,0.7573903982710714
