cohort,seq,bin,n_subjects,bic,rss,gas_shift_ppm,gas_a,gas_a_te,gas_phi_deg,gas_ppm_from_gas,gas_fwhm_hz,gas_fwhm_ppm,gas_wL_hz,gas_wG_hz,gas_T2s_ms,rbc_a,rbc_a_te,rbc_phi_deg,rbc_ppm_from_gas,rbc_fwhm_hz,rbc_fwhm_ppm,rbc_wL_hz,rbc_wG_hz,rbc_T2s_ms,mem_a,mem_a_te,mem_phi_deg,mem_ppm_from_gas,mem_fwhm_hz,mem_fwhm_ppm,mem_wL_hz,mem_wG_hz,mem_T2s_ms,ratio_rbc_gas,ratio_mem_gas,ratio_rbc_mem,ratio_rbc_gas_te,ratio_mem_gas_te,ratio_rbc_mem_te,model,mem1_a,mem1_a_te,mem1_phi_deg,mem1_ppm_from_gas,mem1_fwhm_hz,mem1_fwhm_ppm,mem1_wL_hz,mem1_wG_hz,mem1_T2s_ms,mem2_a,mem2_a_te,mem2_phi_deg,mem2_ppm_from_gas,mem2_fwhm_hz,mem2_fwhm_ppm,mem2_wL_hz,mem2_wG_hz,mem2_T2s_ms
ALL,v2,0,4,-9726.123724906156,0.06888045040873667,-0.20087157465890726,0.035449444747156264,0.03840616368534509,5.407888228753793,0.0,37.499886164805886,2.1292194464721406,37.499886164805886,0.0,8.488289398662989,0.10257226808801866,0.15356179410408335,-55.619883761317155,217.75735562717148,188.89606291468866,10.725397105270439,188.89606291468866,0.0,1.6851059851234134,0.37650001891715357,0.5296810515577964,-99.7899038877838,197.66106946618484,159.7901297207529,9.072780916200262,108.78957923447255,88.12154469206713,1.9920497388672553,2.89348024544861,10.620759270068856,0.2724362893341289,3.998363266953398,13.791563664035273,0.28991370118386683,M2,,,,,,,,,,,,,,,,,,
ALL,v2,0,4,-9735.397397281404,0.06688383498670437,-0.21305454947781077,0.035432468452828055,0.038388507478984674,6.044815810273454,0.0,37.5088611940748,2.1297290428684614,37.5088611940748,0.0,8.486258341377571,0.13317933493944245,0.21150415201657352,-49.11962530111039,217.05746031216796,216.5200142691882,12.293867317524091,216.5200142691882,0.0,1.4701176113357002,0.784673312940172,1.384987967079272,nan,197.56945270137226,200.20000000000027,11.367227391313595,200.20000000000027,0.0,1.5899594714475036,3.758680689061975,22.145601116806837,0.16972583716453832,5.5095695536576645,36.078192616304946,0.15271190583886693,M3,0.21234596639244402,0.5439319277745599,-266.73237072109026,194.71305454955387,440.30086033333316,24.999999999999996,440.30086033333316,0.0,0.7229372341966621,0.5723273465477279,0.8410560393047122,-100.1564106904957,197.6341722243241,180.19484273496155,10.23134741313835,180.19484273496155,0.0,1.7664761174767623
ALL,v2,1,4,-9800.768869754867,0.0640288713788876,0.07740352394713407,0.044876397290665025,0.04811884412256292,-2.3587633666961523,0.0,32.65573251517303,1.8541715141352864,32.65573251517303,0.0,9.747442842872763,0.1768295374420911,0.2621244826316173,-55.371456855891566,218.00881761727553,184.26084532126586,10.462212427984454,184.26084532126586,0.0,1.7274960701976871,0.5729394945391152,0.8082672389420937,-99.93790552838765,197.5543990132637,161.08007573020654,9.146023221954392,102.77788021954467,94.74509741683606,1.9760971972531773,3.940368392247796,12.767056384410237,0.3086356223083147,5.4474393018245255,16.797312023609006,0.3243042276149913,M2,,,,,,,,,,,,,,,,,,
ALL,v2,1,4,-9838.35715745576,0.06047402313623273,0.07228836996814804,0.04490371834669844,0.048151224514800625,-2.0506229830562632,0.0,32.685727383022126,1.855874603463024,32.685727383022126,0.0,9.738497860357535,0.22202447765580013,0.3526287770873373,-59.14284594383785,217.896504408556,216.55756477074783,12.295999410880166,216.55756477074783,0.0,1.4698626968804342,1.0274803130420311,1.6136293341809105,nan,196.86538866714506,209.30000000000018,11.883919545464206,209.30000000000018,0.0,1.5208307987758738,4.94445640206374,22.881853683227927,0.21608635692343214,7.323360530092999,33.5116988288619,0.21853146172899376,M3,0.3306910221850782,0.6121878600601839,-210.28500911553914,202.2977105954997,288.2833048364322,16.36854085512035,288.2833048364322,0.0,1.1041565045342987,0.6967892908569528,1.0014414741207265,-76.67630269347734,196.60999840585,169.78680167204212,9.640385527722094,169.78680167204212,0.0,1.8747622491802027
ALL,v2,2,4,-9687.204664497749,0.07155409031172713,-0.047517699284988765,0.05985636818112412,0.06408633034109408,1.2718791956151005,0.0,31.963582133916557,1.8148716601256625,31.963582133916557,0.0,9.958517316681851,0.2060477791588811,0.3119333194261718,-61.54265462220424,218.2797959965119,194.11349748956619,11.021639688746635,194.11349748956619,0.0,1.6398132551338949,0.6775433661920902,0.9509503401539957,-102.97265772045012,197.66028172646313,158.68135545574074,9.009825425710602,105.48626937431466,89.7370116488312,2.005969039460174,3.442370217574591,11.319486744365413,0.3041100975084516,4.867392434017256,14.838583128299636,0.32802272238070573,M2,,,,,,,,,,,,,,,,,,
ALL,v2,2,4,-9736.427457400507,0.0668164576248289,-0.050184925359413685,0.05987748082090815,0.06411118048179389,1.4270140855768836,0.0,31.979977774631877,1.8158025940729017,31.979977774631877,0.0,9.953411738650114,0.2345843516724429,0.3722551595303004,-66.13560575454525,218.3570254754051,216.15314968440902,12.273036982074517,216.15314968440902,0.0,1.4726127592798626,0.9555435995598321,1.3827234209228227,nan,196.88810041018465,198.0999999999999,11.247990740355739,198.0999999999999,0.0,1.6068141654911199,3.9177391643125077,15.958313316784919,0.24549832344699224,5.806400018418198,21.567586348148506,0.2692188140429842,M3,0.26177026542034576,0.4126546014195214,-194.485661350532,202.59496565466887,213.05400846651872,12.09706973461422,213.05400846651872,0.0,1.4940337826772823,0.6937733341394864,0.9700688195033014,-82.01259473443885,196.64598676225341,156.91821586126167,8.909715492178774,156.91821586126167,0.0,2.0285081909497524
ALL,v2,3,4,-9623.874997075487,0.07612830024239088,0.07515143898855188,0.08519681615615876,0.09109626297909523,-2.846641269594014,0.0,31.340753131399897,1.7795078294687598,31.340753131399897,0.0,10.156421093304235,0.20798477589790634,0.31499784049347296,-74.05148613800881,218.30740086806625,194.30988222948372,11.032790288121394,194.30988222948372,0.0,1.638155931811335,0.7361751694764589,1.0460479568824899,-113.01564804639372,197.6217320151928,164.44749984277567,9.337223399829346,105.03523212811244,96.6350514335657,1.9356322625039553,2.441227093706029,8.64087653377927,0.2825207702207853,3.457856888879829,11.482885495780842,0.30113135676136016,M2,,,,,,,,,,,,,,,,,,
ALL,v2,3,4,-9660.379353161954,0.07197799754966451,0.07377958118561258,0.08539781560781082,0.09132646276867219,-2.7720355149951312,0.0,31.419089833054585,1.783955737065135,31.419089833054585,0.0,10.13109825507776,0.23626024826845685,0.3775787218246565,-83.01390578165861,218.6746254851698,219.46770922289795,12.461235543393453,219.46770922289795,0.0,1.4503722999200108,1.1284527411268575,1.681016765564878,nan,196.91081215322424,210.8499999999999,11.971927549742592,210.8499999999999,0.0,1.5096508711586,2.766584210461322,13.214070325982023,0.20936654204280686,4.134384606366006,18.406677698914656,0.22461329925985443,M3,0.30013952546714506,0.4932657377126497,-221.45085718329167,203.20792988255172,232.55373847526704,13.204251877864285,232.55373847526704,0.0,1.3687584137360325,0.8283132156597124,1.1877510278522283,-92.35768534793435,196.67197622545876,168.71619633597305,9.579597244498064,168.71619633597305,0.0,1.8866587387373537
ALL,v2,4,4,-9577.114042947123,0.07969241694393789,0.03421143256672167,0.07869112921265048,0.08442333871995047,-0.9321129772668261,0.0,32.91392374604895,1.8688314463621083,32.91392374604895,0.0,9.670979632806652,0.23349598440985228,0.3648932213398262,-80.80406159593257,218.20097838917084,208.97974940944871,11.865735922662003,208.97974940944871,0.0,1.5231613928301455,0.7360735850329613,1.0343727148323403,-115.16034216094206,197.6762683391674,159.25809231950473,9.042572174338765,104.55313150117219,91.1941997492248,1.9987046281151926,2.967246584794404,9.353958856580103,0.3172182634422296,4.32218420726349,12.252212842038464,0.35276763985307863,M2,,,,,,,,,,,,,,,,,,
ALL,v2,4,4,-9587.918800061794,0.07726655674541688,0.0297663970873702,0.07870052908965745,0.08443609802736993,-0.6818935577999583,0.0,32.92875218094717,1.8696733953698272,32.92875218094717,0.0,9.666624609236399,0.28451884472635275,0.468146368194127,-77.73148783383346,217.67295182762197,233.10652620011922,13.235638809769988,233.10652620011922,0.0,1.3655125464420734,2.1617337170909616,3.5493973356640884,nan,197.17483616605944,223.0999999999999,12.667474680329962,223.0999999999999,0.0,1.426758790604172,3.615208792335085,27.467842238115896,0.1316160461748401,5.5443865731736865,42.03649172079876,0.1318946074282037,M3,0.8576032212756564,1.586401882656761,-232.70911065506863,199.183936637382,287.92169212267385,16.34800871753353,287.92169212267385,0.0,1.1055432601728716,1.3041304958153053,1.9629954530073277,-82.70939951647675,196.82777893723676,191.42363915140885,10.868911260273832,191.42363915140885,0.0,1.662855682792759
