cohort,seq,bin,n_subjects,bic,rss,gas_shift_ppm,gas_a,gas_a_te,gas_phi_deg,gas_ppm_from_gas,gas_fwhm_hz,gas_fwhm_ppm,gas_wL_hz,gas_wG_hz,gas_T2s_ms,rbc_a,rbc_a_te,rbc_phi_deg,rbc_ppm_from_gas,rbc_fwhm_hz,rbc_fwhm_ppm,rbc_wL_hz,rbc_wG_hz,rbc_T2s_ms,mem_a,mem_a_te,mem_phi_deg,mem_ppm_from_gas,mem_fwhm_hz,mem_fwhm_ppm,mem_wL_hz,mem_wG_hz,mem_T2s_ms,ratio_rbc_gas,ratio_mem_gas,ratio_rbc_mem,ratio_rbc_gas_te,ratio_mem_gas_te,ratio_rbc_mem_te,model,mem1_a,mem1_a_te,mem1_phi_deg,mem1_ppm_from_gas,mem1_fwhm_hz,mem1_fwhm_ppm,mem1_wL_hz,mem1_wG_hz,mem1_T2s_ms,mem2_a,mem2_a_te,mem2_phi_deg,mem2_ppm_from_gas,mem2_fwhm_hz,mem2_fwhm_ppm,mem2_wL_hz,mem2_wG_hz,mem2_T2s_ms
ALL,v2,0,4,-9098.062702719946,0.12734672909632028,-0.2830534093369049,0.032833801270314426,0.03559537637913342,8.396518161189075,0.0,37.80268858039622,2.146412373108776,37.80268858039622,0.0,8.420297553885105,0.09189037056357074,0.1364091558136094,-56.18379895044937,217.40521457061197,184.92991091408186,10.50020154253612,184.92991091408186,0.0,1.7212460905346834,0.33273255640150096,0.4680136906524011,-100.00300421673508,197.6479331654621,159.69724748319328,9.067507122419272,106.5188291481787,90.00239559326312,1.9932083439151949,2.7986516031773125,10.133842063006268,0.27616885933064117,3.832215576559394,13.148159628022876,0.2914640288053496,M2,,,,,,,,,,,,,,,,,,
ALL,v2,0,4,-9091.93489901871,0.12553296124523783,-0.29226551230663766,0.032778790508289586,0.03553177801080368,8.87195543038144,0.0,37.75051140028728,2.143449786340865,37.75051140028728,0.0,8.431935737468402,0.1046784046124431,0.15917777943451578,-49.99391767421888,216.90067686503147,196.1953774148394,11.139847493501838,196.1953774148394,0.0,1.6224127722986557,0.5109359836004705,0.7757429627322583,nan,197.98678097972467,182.8499999999999,10.382105536971462,182.8499999999999,0.0,1.7408251910516317,3.1934797772959462,15.587395864141403,0.20487577303675875,4.4798709309203915,21.83237108191964,0.20519397156227218,M3,0.4210091437011734,0.6029367736414988,-109.37824166965557,198.06814632860676,168.12275575484134,9.545902069528246,168.12275575484134,0.0,1.8933182766047094,0.08992683989929713,0.17280618909075945,54.32468410618188,189.79226551348998,305.75266531631377,17.360439920832842,305.75266531631377,0.0,1.0410698655872255
ALL,v2,1,4,-9069.371929313093,0.13097240871683877,-0.12167156226747787,0.03827055186430911,0.041418887519426774,2.6734150275112314,0.0,37.006462761443544,2.10120318260493,37.006462761443544,0.0,8.60146748517215,0.11426324041192974,0.17200258229718274,-55.32201804558217,218.05358742646973,191.45617707327978,10.870758742575267,191.45617707327978,0.0,1.6625730809508312,0.42404606401367617,0.5970395693940321,-99.79784438558445,197.66804440521267,160.15729189640018,9.093628148668154,109.45390454384929,87.95706379441158,1.987482945139292,2.9856700477447506,11.080218166624846,0.26945950006092867,4.1527571742845115,14.414669373097034,0.2880924332565721,M2,,,,,,,,,,,,,,,,,,
ALL,v2,1,4,-9076.264286598129,0.12747262603047388,-0.13497891517151622,0.03835382011547746,0.041519940588966665,3.3735969774089636,0.0,37.1297590539044,2.108203866885192,37.1297590539044,0.0,8.572904707560138,0.20130715190886833,0.3527456847648937,-55.87985171028428,217.2880953456602,262.56609997049793,14.908334483591526,262.56609997049793,0.0,1.212303820712408,0.8260829743121797,1.5048576154701787,nan,197.1606413266597,199.05000000000018,11.301931130074776,199.05000000000018,0.0,1.59914537143326,5.248685823283402,21.53847965665404,0.2436887796610049,8.495813812860582,36.24421408420977,0.23440469127352065,M3,0.28196708153562666,0.7222689502148849,-227.70289080432042,203.97499574626926,440.3008603333205,24.999999999999275,440.3008603333205,0.0,0.7229372341966829,0.544115892776553,0.7825886652552939,-85.03152560636131,197.0407671125327,170.1295957096126,9.659849152964103,170.1295957096126,0.0,1.8709847916590663
ALL,v2,2,4,-9064.384873284193,0.1316130769805712,0.018845448902219952,0.045725691838487445,0.04941577784288468,0.8261615715208404,0.0,36.32919327048435,2.0627482559868864,36.32919327048435,0.0,8.761820935957902,0.16244636407733545,0.24364733308987127,-57.59868808149512,218.03054627622996,189.75666737851776,10.774261673873461,189.75666737851776,0.0,1.6774635146223396,0.5249620841618944,0.7449018541034854,-100.12426221104626,197.6428338040678,163.8015329315998,9.30054581358259,97.42269692286371,102.10497155421851,1.9432656122742786,3.552627801699085,11.48068105817116,0.30944399410613094,4.930557480336288,15.074170368659754,0.32708649031771986,M2,,,,,,,,,,,,,,,,,,
ALL,v2,2,4,-9070.838358934483,0.12815119408288603,0.015592600972312708,0.04584299431645552,0.04955386696794459,0.9985521428283303,0.0,36.43614071301556,2.068820663070661,36.43614071301556,0.0,8.736103219353453,0.1911341087979302,0.3050965759733874,-65.61106387663882,218.24693254834168,218.90968850358226,12.429551485423794,218.90968850358226,0.0,1.4540694309132043,0.8230139660944429,1.2250618088729612,nan,196.83416002046562,211.80000000000018,12.025867939461628,211.80000000000018,0.0,1.5028795381670934,4.169319906952977,17.952884150916358,0.23223677443159826,6.156867155710539,24.721820593041294,0.24904586345245042,M3,0.23457130879351065,0.3872502188494562,-206.46103199816218,203.38830766019677,234.6652634784899,13.32414291110144,234.6652634784899,0.0,1.3564422849186109,0.5884426573009323,0.8378115900235051,-78.10777702783167,196.5962089834548,165.3871506488057,9.390576168963083,165.3871506488057,0.0,1.9246349243884824
ALL,v2,3,4,-9085.400525323432,0.1289343194043208,0.12650772750406486,0.04443069382145946,0.047350291177951635,-5.198930165427406,0.0,29.79120092164072,1.691525250432571,29.79120092164072,0.0,10.684694686227509,0.19482499578060072,0.28612040859845356,-53.29919286156768,217.96853504098874,179.89706065849848,10.21443953813229,179.89706065849848,0.0,1.7694001503895804,0.6232827970644005,0.8747413393247653,-99.69587909087512,197.48612984004998,158.6530839243976,9.0082201863226,106.91070401967202,88.46611856265798,2.0063264974759254,4.384919050858997,14.028203105920502,0.3125788112526239,6.042632505112951,18.473832315778516,0.3270914449056644,M2,,,,,,,,,,,,,,,,,,
ALL,v2,3,4,-9094.609815755282,0.12520482899048777,0.12044340781265243,0.04436101869679669,0.04727170272020978,-4.808302419721255,0.0,29.74827710335377,1.6890880636045433,29.74827710335377,0.0,10.700111642697617,0.24649322533223927,0.38536277475589525,-53.27454475422643,217.6459374899258,209.17203016946942,11.876653500694621,209.17203016946942,0.0,1.5217612312979834,1.2456236259452016,2.042230198104089,nan,196.90229524958437,203.9000000000001,11.57731101442977,203.9000000000001,0.0,1.5611078282677318,5.556527613060395,28.07923854181347,0.19788740370526914,8.152081532513604,43.20195974728423,0.18869703088008785,M3,0.4115316688422486,0.8357858885273391,-217.22601141980627,200.85698657996082,331.64449088998407,18.830561143970396,331.64449088998407,0.0,0.9597924733487677,0.834091957102953,1.2064443095767499,-78.08709096230884,196.70212544393232,172.7716168581927,9.80986141654337,172.7716168581927,0.0,1.842373718392951
ALL,v2,4,4,-8927.08926515568,0.15053663981484486,-0.023409869370202303,0.05309763515435921,0.0566331085348261,-1.2367151163230528,0.0,30.174550349270067,1.7132915846692978,30.174550349270067,0.0,10.548952097027378,0.21332963382147171,0.32707889956230113,-58.60475853629361,218.38565967260632,200.04974897824522,11.358696234819753,200.04974897824522,0.0,1.5911536395799522,0.6574387145323639,0.9201160216439019,-101.15989181261698,197.64811044932617,157.35191545531023,8.934340676519785,100.88885965376632,92.14306126073679,2.0229171361704483,4.017686158739553,12.381694827295703,0.324485962122284,5.7754007862938765,16.246963047738824,0.35547571378871756,M2,,,,,,,,,,,,,,,,,,
ALL,v2,4,4,-8934.877327815611,0.14638571880813045,-0.02648401716064842,0.053131988756711115,0.05667286030687433,-1.056498625340849,0.0,30.200245074557298,1.7147505146647888,30.200245074557298,0.0,10.539976923960666,0.24387707604371583,0.39291903097485326,-63.831234833850985,218.48704090564524,223.25658630120725,12.676365549921313,223.25658630120725,0.0,1.4257580994915957,0.9823635157266104,1.4357210829639515,nan,196.8909393780646,198.80000000000018,11.287736290675033,198.80000000000018,0.0,1.6011563691337547,4.590023482095081,18.48911623136877,0.24825542901329234,6.933107467088489,25.333485467113448,0.2736736512663712,M3,0.2763756546155925,0.4464853750800695,-199.54162462871673,202.69761549828323,224.52345333030448,12.748297445996768,224.52345333030448,0.0,1.417713301048838,0.705987861111018,0.9892357078838819,-79.49400748303354,196.65371979453457,157.90725694220424,8.965872609393683,157.90725694220424,0.0,2.0158027714983078
