session,seq,snr,valid,stable,model,sf_dphi,sf_ratio_l,sf_ratio_s,sf_stab_drop,nrep,tp_dphi,tp_ratio_l,tp_ratio_s,tp_F,tp_dr,tp_dm,tp_res,tp_stab_drop,tp_stab_oddeven,sf_stab_oddeven,tp_stab_halves,sf_stab_halves,tp_minus_sf
2024-05-02_023DB,v3,57.3,yes,yes,M3,55.9,0.3147,0.1831,1.8,14,30.05,0.31,0.2085,1.487,0,-0.75,0.1012,3.146,1.338,6.1,1.787,9.6,-25.85
2024-05-06_043AS,v3,63.9,yes,yes,M3,55.9,0.2504,0.179,0.3,13,50.55,0.2635,0.1773,1.487,0,-0.75,0.09039,2.917,4.076,1.2,3.548,2.1,-5.346
2024-05-08_012EB,v3,73,yes,yes,M3,55.8,0.2407,0.1696,1,14,63.85,0.2339,0.1573,1.487,-1.5,-0.75,0.1034,1.053,0.6352,6.3,2.923,3.6,8.045
2024-05-13_002ZS,v3,63.9,yes,no,M3,57.8,0.3214,0.2136,1.5,10,52.72,0.332,0.2233,1.487,-1.5,-0.5,0.06977,1.247,0.2428,9.6,1.381,5,-5.084
2024-06-18_003PM,v3,69.8,yes,yes,M3,54.5,0.3189,0.2341,0,16,61.85,0.3365,0.2264,1.487,-1.5,-0.75,0.09579,0.7889,0.09175,0.9,0.4534,0.9,7.35
2024-07-03_044DY,v3,69.1,yes,yes,M3,47.5,0.2869,0.1925,0,25,54.29,0.2982,0.2006,1.487,-1.5,-1,0.0553,0.7033,0.05544,0.8,0.3991,2.6,6.793
2024-07-29_004DS,v3,61.9,yes,yes,M3,64.5,0.3359,0.3098,1.6,20,47.32,0.4089,0.2751,1.487,-1.5,-0.75,0.1412,1.188,0.1711,0.5,1.348,5.5,-17.18
2024-08-12_013VM,v3,67.9,yes,yes,M3,47.9,0.2923,0.2238,4.5,11,43.08,0.2617,0.1761,1.487,-1,-1.5,0.1288,4.654,0.1354,1.8,0.1339,0.4,-4.82
2024-08-12_013VM,v3,66.4,yes,yes,M3,49.6,0.291,0.219,3.6,22,46.08,0.2709,0.1822,1.487,-1.25,-1.25,0.1224,4.464,1.65,1.3,0.6803,7,-3.515
2024-08-15_006MM,v3,62.9,yes,yes,M3,42,0.3804,0.2425,3.4,11,42.93,0.3741,0.2516,1.487,0,0,0.02907,0.4288,1.04,2.6,2.058,4.3,0.9254
2024-08-19_015HK,v3,58.4,yes,yes,M3,53.5,0.4735,0.32,1.8,27,51.32,0.4837,0.3254,1.487,-0.25,-0.75,0.109,2.16,1.463,0.5,1.462,0.8,-2.181
2024-08-21_044DY,v3,69.8,yes,yes,M3,48.6,0.317,0.2159,1,23,58.09,0.3468,0.2333,1.487,-1.5,-0.5,0.05532,0.7424,0.1505,0.9,0.6015,0.4,9.486
2024-08-23_016PG,v3,51.3,yes,yes,M3,53.1,0.7891,0.4914,1.8,20,49.75,0.8382,0.5639,1.487,0,-0.5,0.06613,0.271,0.1915,0.5,0.5107,0.2,-3.345
2024-08-28_007IT,v3,66.1,yes,no,M2,70.6,0.1763,0.1763,18.3,12,62.05,0.2648,0.1781,1.487,-1.5,-1.5,0.07776,1.332,0.3897,4.1,0.8876,2.4,-8.548
2024-08-30_014KS,v3,59.2,yes,yes,M3,38.5,0.4764,0.3582,1.3,25,39.28,0.502,0.3377,1.487,-1.5,-0.75,0.0789,0.6592,0.03555,0.5,0.3015,0.3,0.7755
2024-09-03_041WF,v3,61,yes,yes,M3,58.3,0.3759,0.2356,2.2,21,53.42,0.3922,0.2639,1.487,1.25,-0.5,0.06711,2.329,0.04362,0.6,1.486,1.1,-4.882
2024-09-09_043AS,v3,71.3,yes,yes,M3,55.5,0.2687,0.1929,0.7,20,54.97,0.2796,0.1881,1.487,1.5,1.25,0.05622,0.0596,0.1423,0.9,0.1138,0.3,-0.5298
2024-09-10_008TP,v3,65.4,yes,yes,M3,53.1,0.445,0.3329,1.1,22,55.17,0.4681,0.3149,1.487,-1.25,-0.75,0.07402,0.2986,0.09867,0.2,0.3066,0.1,2.066
2024-09-10_045VS,v3,67.8,yes,yes,M3,54.3,0.3933,0.2635,1.5,21,64.1,0.4285,0.2882,1.487,-0.75,-0.75,0.06086,1.985,0.09463,0.3,0.9167,1.2,9.798
2024-09-24_039CP,v3,61.1,yes,yes,M3,53.3,0.3868,0.2562,1.6,14,49.48,0.3925,0.264,1.487,0.75,-0.25,0.02921,0.2419,1.581,2.2,1.831,1.2,-3.824
2024-09-24_046AA,v3,67.2,yes,yes,M3,53.5,0.3111,0.2066,0.4,6,57.98,0.3401,0.2288,1.487,0.25,-0.25,0.03846,2.053,2.148,2.4,0.9555,0.6,4.481
2024-09-26_009ML,v3,61.9,yes,yes,M3,50.4,0.3873,0.2664,0.9,16,50.1,0.4039,0.2717,1.487,-0.75,-0.5,0.08098,2.132,0.02579,1.3,0.3746,1.5,-0.3035
2024-09-27_036RL,v3,68.7,yes,yes,M3,49.5,0.2302,0.1561,2.1,16,47.3,0.22,0.148,1.487,-0.5,-0.25,0.04217,0.8001,1.18,2.6,1.68,1.1,-2.201
2024-10-02_011CN,v3,67,yes,yes,M3,55.8,0.3968,0.2787,2.7,11,54.07,0.38,0.2556,1.487,-0.5,-1.25,0.1162,0.1127,3.358,2.2,3.022,5.3,-1.733
2024-10-02_018CS,v3,42.4,yes,no,M3,46.6,0.5754,0.3698,4.9,5,40.75,0.527,0.3545,1.487,-0.75,-1.25,0.1885,0.7959,5.055,8.2,7.319,8.4,-5.85
2024-10-08_009JT,v3,65.1,yes,no,M3,57.7,0.3761,0.2654,6.7,9,47.72,0.3316,0.2231,1.487,-0.5,-1.25,0.2442,5.48,3.16,1.5,0.4401,7,-9.985
2024-10-10_019LR,v3,70.6,yes,yes,M3,46.1,0.3614,0.3015,1.5,7,44.75,0.3459,0.2327,1.487,-1.5,-1.5,0.102,1.194,0.01309,5.8,1.152,5.4,-1.353
2024-10-16_020JS,v3,60.5,yes,no,M2,57.7,0.2383,0.2383,5.9,12,43.89,0.3057,0.2056,1.487,0.25,-1.25,0.1537,4.797,0.8369,7.8,0.2338,2,-13.81
2024-10-16_047SS,v3,61.3,yes,yes,M3,55.3,0.3231,0.2462,3.3,9,33.44,0.295,0.1984,1.487,0.5,-0.5,0.1392,4.772,0.1075,15.7,2.647,0.1,-21.86
2024-10-17_048JJ,v3,59.1,yes,yes,M3,49.1,0.3909,0.2328,2.1,11,47.47,0.3755,0.2526,1.487,-0.5,-1.25,0.05628,2.208,0.06056,3,1.02,1.8,-1.631
2024-10-22_021CH,v3,59.1,yes,yes,M3,61.1,0.504,0.3932,1.8,15,49.8,0.5026,0.3381,1.487,0.25,-0.75,0.1428,2.303,0.4398,0.3,0.7007,2.4,-11.3
2024-10-23_047SS,v3,33.4,yes,no,M3,68.1,0.1759,0.133,18.5,11,6.647,0.4882,0.3284,1.487,1.5,1.5,0.3195,5.884,0.7989,26.1,1.044,16.5,-61.45
2024-10-28_022VT,v3,62.8,yes,yes,M3,48.8,0.3228,0.2459,3,11,51.54,0.3499,0.2354,1.487,-1.5,-1.5,0.2001,2.6,0.5051,1.6,0.7929,4,2.742
2024-10-29_049WG,v3,59.7,yes,yes,M3,55.3,0.4152,0.2676,1,14,53.02,0.4333,0.2915,1.487,0,-0.5,0.05505,0.4919,0.1595,2.7,2.164,3.5,-2.281
2024-11-05_023LL,v3,56,yes,yes,M3,49.5,0.4779,0.3173,0,14,34.69,0.4264,0.2868,1.487,0.25,-0.75,0.1198,2.664,0.3821,1.7,0.3032,5.1,-14.81
2024-11-13_025JC,v3,42.1,yes,yes,M3,51.5,1.348,0.7291,1.8,15,52.38,1.34,0.9018,1.487,-1,-0.25,0.111,0.2068,0.05174,0.8,0.5867,0.8,0.8754
2024-11-18_026CH,v3,76.1,yes,yes,M3,63.3,0.328,0.2353,1.5,11,56.64,0.2732,0.1838,1.487,-1,0.5,0.1708,5.452,5.396,1,0.2858,3.8,-6.659
2024-11-26_050EH,v3,58,yes,yes,M3,47.7,0.3176,0.2229,4.1,13,41.29,0.3143,0.2114,1.487,1.25,-0.75,0.06978,0.0944,1.279,8.4,0.3375,1.2,-6.409
2024-12-05_043AS,v3,55.5,yes,no,M2,59.4,0.154,0.154,0.3,6,50.96,0.218,0.1467,1.487,0.25,-1,0.0868,0.4647,3.066,14.6,4.669,12.3,-8.436
2024-12-06_051VM,v3,71.3,yes,no,M2,47.6,0.164,0.164,2.7,10,45.7,0.2474,0.1664,1.487,-1.25,-1.5,0.1803,7.678,2.616,16,1.093,20.2,-1.896
2024-12-09_027JC,v3,47.6,yes,yes,M3,50.3,0.3669,0.2878,0.8,1,39.12,0.3203,0.2155,1.487,0.25,-1,0.1485,2.73,,,,,-11.18
